
**************************************************************************
P=8 S=10 chain_strength=18000.0

**************************************************************************
P=8 S=10 chain_strength=18000.0

**************************************************************************
P=8 S=10 chain_strength=18000.0
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: -1, 5: 1, 6: 1, 7: 1, 8: -1, 9: 0, 10: 0, 11: 1, 12: 1, 13: -1, 14: -1, 15: 0, 16: 0, 17: 1}, ENERGY: [5446.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: -1, 5: 1, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0, 11: 1, 12: 1, 13: -1, 14: 1, 15: 0, 16: -1, 17: -1}, ENERGY: [9002.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: -1, 5: 1, 6: 1, 7: 1, 8: -1, 9: 1, 10: -1, 11: -1, 12: 1, 13: 0, 14: -1, 15: 0, 16: 0, 17: -1}, ENERGY: [-874.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: 0, 4: 0, 5: 1, 6: 1, 7: -1, 8: -1, 9: 0, 10: 0, 11: 1, 12: 1, 13: -1, 14: 0, 15: 0, 16: 0, 17: 0}, ENERGY: [8769.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: 0, 4: -1, 5: 0, 6: 0, 7: 1, 8: -1, 9: -1, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: 0, 17: -1}, ENERGY: [11963.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: -1, 5: 0, 6: 0, 7: 1, 8: -1, 9: 1, 10: 0, 11: 0, 12: -1, 13: -1, 14: 1, 15: 0, 16: -1, 17: 0}, ENERGY: [2674.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: -1, 10: 0, 11: 0, 12: -1, 13: -1, 14: 0, 15: 0, 16: 0, 17: 0}, ENERGY: [11946.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: -1, 4: 0, 5: 1, 6: 1, 7: 1, 8: -1, 9: 0, 10: 1, 11: 0, 12: 0, 13: 0, 14: 0, 15: -1, 16: 0, 17: 0}, ENERGY: [10674.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: 0, 3: -1, 4: -1, 5: 1, 6: 0, 7: 1, 8: -1, 9: 0, 10: 1, 11: 0, 12: 1, 13: -1, 14: 0, 15: 0, 16: -1, 17: -1}, ENERGY: [10412.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: -1, 5: 1, 6: 1, 7: 0, 8: -1, 9: 0, 10: 0, 11: 1, 12: 1, 13: -1, 14: 1, 15: -1, 16: -1, 17: -1}, ENERGY: [6362.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: 1, 3: 0, 4: 0, 5: 1, 6: -1, 7: 0, 8: -1, 9: 0, 10: 1, 11: 0, 12: 0, 13: -1, 14: -1, 15: -1, 16: 0, 17: -1}, ENERGY: [9018.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: 1, 3: -1, 4: 1, 5: 1, 6: -1, 7: 1, 8: 0, 9: 0, 10: 0, 11: -1, 12: -1, 13: -1, 14: 0, 15: 0, 16: -1, 17: -1}, ENERGY: [1474.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: 0, 4: -1, 5: 1, 6: 0, 7: -1, 8: -1, 9: 1, 10: -1, 11: -1, 12: 0, 13: -1, 14: 0, 15: 0, 16: -1, 17: -1}, ENERGY: [9599.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: 1, 3: 0, 4: -1, 5: 0, 6: -1, 7: 0, 8: -1, 9: 1, 10: 0, 11: -1, 12: 0, 13: -1, 14: -1, 15: -1, 16: -1, 17: 0}, ENERGY: [5908.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: 0, 4: -1, 5: 1, 6: 0, 7: 0, 8: -1, 9: -1, 10: 1, 11: 1, 12: 0, 13: -1, 14: -1, 15: 1, 16: -1, 17: 0}, ENERGY: [7939.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: 0, 5: 0, 6: 0, 7: 1, 8: -1, 9: -1, 10: 1, 11: 0, 12: 0, 13: -1, 14: 0, 15: -1, 16: 1, 17: 0}, ENERGY: [9629.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: 0, 4: 0, 5: 1, 6: 1, 7: -1, 8: -1, 9: 1, 10: 0, 11: -1, 12: -1, 13: -1, 14: 0, 15: -1, 16: 0, 17: 0}, ENERGY: [10353.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: 1, 3: -1, 4: -1, 5: 1, 6: -1, 7: 0, 8: -1, 9: 1, 10: 1, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: -1, 17: 1}, ENERGY: [8244.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 1, 2: -1, 3: -1, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: -1, 10: 0, 11: 0, 12: 0, 13: -1, 14: 1, 15: 1, 16: 0, 17: 1}, ENERGY: [10864.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: 0, 5: 0, 6: 0, 7: 1, 8: -1, 9: 0, 10: 0, 11: -1, 12: 1, 13: -1, 14: -1, 15: 0, 16: 1, 17: 0}, ENERGY: [11285.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: -1, 4: 1, 5: 1, 6: 1, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: -1, 13: 0, 14: -1, 15: -1, 16: 0, 17: 1}, ENERGY: [13342.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: 0, 4: -1, 5: 0, 6: 1, 7: 0, 8: -1, 9: 0, 10: -1, 11: -1, 12: 1, 13: -1, 14: -1, 15: 0, 16: 0, 17: 0}, ENERGY: [7098.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: 0, 5: -1, 6: 1, 7: 0, 8: -1, 9: 0, 10: 1, 11: 0, 12: -1, 13: -1, 14: -1, 15: 0, 16: 0, 17: 0}, ENERGY: [12973.0], OCCURENCES: 1
