PLE: {0: -1, 1: -1, 2: -1, 3: 1, 4: 0, 5: 0, 6: 1, 7: -1, 8: 0, 9: -1, 10: -1, 11: 0, 12: 0, 13: -1, 14: 0, 15: 0, 16: 0, 17: -1}, ENERGY: [-4540.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: -1, 3: -1, 4: 1, 5: 0, 6: 1, 7: 1, 8: -1, 9: 1, 10: -1, 11: 0, 12: -1, 13: -1, 14: 0, 15: 0, 16: 0, 17: -1}, ENERGY: [-4936.5], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: 1, 3: -1, 4: 0, 5: 0, 6: -1, 7: 1, 8: 0, 9: 0, 10: -1, 11: -1, 12: -1, 13: -1, 14: -1, 15: 0, 16: -1, 17: 0}, ENERGY: [-4348.5], OCCURENCES: 1
SAMPLE: {0: -1, 1: 1, 2: -1, 3: -1, 4: 0, 5: -1, 6: 1, 7: 0, 8: 0, 9: -1, 10: 0, 11: 0, 12: 1, 13: 0, 14: -1, 15: 1, 16: -1, 17: 0}, ENERGY: [-4154.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: 0, 3: -1, 4: 1, 5: 1, 6: -1, 7: 1, 8: 0, 9: 0, 10: -1, 11: -1, 12: 1, 13: 0, 14: -1, 15: -1, 16: 0, 17: -1}, ENERGY: [-4233.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: -1, 2: -1, 3: -1, 4: -1, 5: 1, 6: 1, 7: 1, 8: 0, 9: 0, 10: 0, 11: -1, 12: 0, 13: 0, 14: -1, 15: 0, 16: 0, 17: -1}, ENERGY: [-4232.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: 0, 3: -1, 4: -1, 5: -1, 6: -1, 7: 0, 8: -1, 9: 1, 10: 0, 11: -1, 12: -1, 13: -1, 14: 0, 15: 0, 16: 0, 17: -1}, ENERGY: [-4339.5], OCCURENCES: 1
SAMPLE: {0: -1, 1: 1, 2: 0, 3: -1, 4: 1, 5: 0, 6: -1, 7: 1, 8: -1, 9: 1, 10: 0, 11: -1, 12: 0, 13: -1, 14: 0, 15: 0, 16: 1, 17: 0}, ENERGY: [-4800.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: 1, 3: 0, 4: 1, 5: 1, 6: -1, 7: -1, 8: 0, 9: -1, 10: -1, 11: 0, 12: 0, 13: -1, 14: -1, 15: -1, 16: 0, 17: 0}, ENERGY: [-4405.0], OCCURENCES: 1
SAMPLE: {0: 1, 1: 1, 2: -1, 3: -1, 4: -1, 5: -1, 6: 1, 7: 0, 8: -1, 9: 0, 10: 0, 11: 0, 12: 1, 13: -1, 14: 0, 15: -1, 16: 0, 17: 0}, ENERGY: [-5312.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: -1, 3: 0, 4: 0, 5: 0, 6: 1, 7: -1, 8: -1, 9: 0, 10: 1, 11: 0, 12: 0, 13: -1, 14: 0, 15: -1, 16: 1, 17: 0}, ENERGY: [-4108.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 1, 2: 1, 3: -1, 4: 0, 5: 0, 6: -1, 7: 1, 8: 0, 9: -1, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: 0, 17: -1}, ENERGY: [-4674.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 1, 2: -1, 3: -1, 4: -1, 5: -1, 6: 1, 7: 1, 8: -1, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0, 15: -1, 16: -1, 17: 0}, ENERGY: [-4581.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 1, 2: -1, 3: 0, 4: 0, 5: -1, 6: 1, 7: 0, 8: -1, 9: 0, 10: -1, 11: 0, 12: 0, 13: -1, 14: -1, 15: 1, 16: 0, 17: 0}, ENERGY: [-4610.5], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: 0, 3: -1, 4: 1, 5: 0, 6: -1, 7: 1, 8: -1, 9: 1, 10: 0, 11: 1, 12: 0, 13: -1, 14: 0, 15: 0, 16: 1, 17: 0}, ENERGY: [-4781.5], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: -1, 4: -1, 5: 0, 6: 1, 7: 0, 8: -1, 9: 1, 10: 0, 11: -1, 12: 0, 13: 0, 14: -1, 15: -1, 16: 0, 17: -1}, ENERGY: [-4677.0], OCCURENCES: 1
SAMPLE: {0: 0, 1: 0, 2: -1, 3: 1, 4: 0, 5: -1, 6: 1, 7: -1, 8: -1, 9: -1, 10: 0, 11: 0, 12: 1, 13: -1, 14: -1, 15: 0, 16: -1, 17: 0}, ENERGY: [-5029.5], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: -1, 3: -1, 4: -1, 5: -1, 6: 1, 7: 0, 8: -1, 9: 1, 10: 0, 11: 0, 12: 0, 13: -1, 14: 0, 15: -1, 16: 0, 17: 0}, ENERGY: [-5005.5], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: 1, 4: 0, 5: 0, 6: 0, 7: -1, 8: -1, 9: 0, 10: 0, 11: 0, 12: -1, 13: -1, 14: -1, 15: 1, 16: 0, 17: 0}, ENERGY: [-4630.5], OCCURENCES: 1
SAMPLE: {0: 1, 1: -1, 2: -1, 3: 0, 4: -1, 5: 1, 6: 1, 7: 0, 8: -1, 9: 0, 10: 0, 11: 0, 12: 0, 13: -1, 14: -1, 15: 0, 16: 0, 17: -1}, ENERGY: [-5094.5], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: 1, 4: 1, 5: 0, 6: 1, 7: -1, 8: -1, 9: 0, 10: 0, 11: -1, 12: -1, 13: -1, 14: 0, 15: -1, 16: -1, 17: -1}, ENERGY: [-5374.5], OCCURENCES: 1
SAMPLE: {0: -1, 1: -1, 2: -1, 3: 1, 4: 0, 5: 0, 6: 1, 7: -1, 8: -1, 9: 1, 10: -1, 11: -1, 12: -1, 13: -1, 14: -1, 15: 1, 16: 0, 17: 0}, ENERGY: [-5256.0], OCCURENCES: 1
SAMPLE: {0: -1, 1: 0, 2: -1, 3: 1, 4: 1, 5: -1, 6: 1, 7: 0, 8: -1, 9: -1, 10: 1, 11: 0, 12: 0, 13: -1, 14: -1, 15: -1, 16: 0, 17: 1}, ENERGY: [-5202.5], OCCURENCES: 1
SAMPLE: {0: 1, 1: 0, 2: 0, 3: -1, 4: -1, 5: -1, 6: 0, 7: 0, 8: -1, 9: 1, 10: -1, 11: 0, 12: 1, 13: -1, 14: -1, 15: 0, 16: 0, 17: -1}, ENERGY: [-4467.5], OCCURENCES: 1
SAMPLE: {0: 0, 1: 1, 2: -1, 3: -1, 4: -1, 5: -1, 6: 1, 7: 1, 8: -1, 9: 1, 10: -1, 11: 0, 12: 0, 13: 0, 14: 0, 15: 0, 16: -1, 17: 0}, ENERGY: [-4613.0], OCCURENCES: 1
